customer_id,region,segment,join_date,age,credit_score
SNB00001,جدة,أفراد,2025-05-18,49,714
SNB00002,أبها,أفراد,2025-11-11,53,327
SNB00003,الدمام,شركات صغيرة,2024-06-17,67,435
SNB00004,جدة,أفراد,2024-08-18,54,704
SNB00005,الرياض,شركات صغيرة,2024-10-01,65,804
SNB00006,الرياض,أفراد,2025-03-22,31,540
SNB00007,الرياض,شركات صغيرة,2025-06-06,44,743
SNB00008,المدينة,شركات صغيرة,2025-07-07,36,733
SNB00009,الدمام,أفراد,2023-08-21,48,527
SNB00010,الدمام,أفراد,2025-10-28,63,808
SNB00011,الرياض,أفراد,2025-11-01,26,602
SNB00012,تبوك,أفراد,2025-06-24,55,333
SNB00013,مكة,أفراد,2024-10-11,34,301
SNB00014,الرياض,أفراد,2024-09-12,36,661
SNB00015,الرياض,أفراد,2023-03-04,61,494
SNB00016,الرياض,أفراد,2025-11-08,21,607
SNB00017,الرياض,أفراد,2024-11-20,65,549
SNB00018,جدة,أفراد,2023-08-26,28,446
SNB00019,جدة,أفراد,2024-10-07,39,645
SNB00020,الرياض,شركات صغيرة,2023-06-27,21,647
SNB00021,الدمام,أفراد,2024-06-11,34,553
SNB00022,الرياض,أفراد,2025-12-19,25,698
SNB00023,الرياض,شركات متوسطة,2025-02-09,63,633
SNB00024,جدة,أفراد,2023-08-20,51,475
SNB00025,جدة,شركات متوسطة,2024-02-05,28,424
SNB00026,مكة,أفراد,2024-06-11,48,697
SNB00027,الرياض,أفراد,2025-02-17,28,430
SNB00028,جدة,أفراد,2024-10-18,55,861
SNB00029,جدة,أفراد,2024-02-12,38,706
SNB00030,الرياض,أفراد,2025-06-06,63,633
SNB00031,الدمام,أفراد,2025-06-26,47,319
SNB00032,الرياض,أفراد,2023-11-15,27,504
SNB00033,الرياض,أفراد,2025-06-17,43,654
SNB00034,أبها,أفراد,2023-12-28,44,472
SNB00035,تبوك,أفراد,2024-01-28,25,488
SNB00036,مكة,أفراد,2024-07-09,56,301
SNB00037,الرياض,أفراد,2025-10-05,25,467
SNB00038,الرياض,شركات متوسطة,2023-06-06,25,667
SNB00039,الدمام,أفراد,2025-04-21,51,835
SNB00040,جدة,شركات متوسطة,2023-11-18,33,879
SNB00041,الرياض,شركات صغيرة,2025-07-24,58,669
SNB00042,جدة,أفراد,2024-05-11,30,895
SNB00043,الرياض,أفراد,2023-12-23,40,736
SNB00044,المدينة,أفراد,2024-12-04,29,506
SNB00045,الرياض,أفراد,2025-08-12,44,348
SNB00046,الدمام,أفراد,2025-09-30,39,843
SNB00047,الرياض,أفراد,2024-09-22,49,428
SNB00048,جدة,أفراد,2024-05-19,66,746
SNB00049,جدة,أفراد,2025-07-22,44,334
SNB00050,الرياض,أفراد,2024-09-12,19,498
SNB00051,تبوك,أفراد,2025-06-09,62,376
SNB00052,مكة,شركات صغيرة,2023-11-15,50,668
SNB00053,أبها,أفراد,2024-06-11,43,825
SNB00054,المدينة,أفراد,2023-06-18,45,648
SNB00055,جدة,أفراد,2023-12-16,36,805
SNB00056,أبها,أفراد,2025-02-02,60,537
SNB00057,الرياض,أفراد,2023-12-05,22,579
SNB00058,الرياض,أفراد,2024-01-05,50,876
SNB00059,الرياض,أفراد,2024-10-29,37,731
SNB00060,الرياض,أفراد,2024-07-04,47,437
SNB00061,جدة,شركات متوسطة,2025-08-08,62,568
SNB00062,الرياض,شركات متوسطة,2025-01-16,25,500
SNB00063,مكة,أفراد,2023-01-04,55,441
